brand, product_name, shipping 
EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING OC-8GD (rev. 2.0) Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTD6-8GD Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| ZT-T20600K-10M,Free Shipping
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC Video Card,Free Shipping
ASRock,ASRock Phantom Gaming D3 Radeon RX 5600 XT RX5600XT PGD3 6GO 6GB (14Gbps) Video Card,Free Shipping
ASUS,ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,Free Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR Video Card,$3.99 Shipping
ASRock,ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card| RX5700XT PGD 8GO,Free Shipping
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC Video Card,Free Shipping
